City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,22.09,53,100,2.57,US,1686007102
1,port-aux-francais,-49.35,70.2167,3.0,63,52,16.84,TF,1686007102
2,alaghsas,17.0187,8.0168,33.67,13,27,4.46,NE,1686007103
3,rongelap,11.1635,166.8941,27.85,78,72,7.37,MH,1686007103
4,tazacorte,28.629,-17.9293,22.54,91,0,6.17,ES,1686007103
5,port elizabeth,-33.918,25.5701,9.16,81,0,1.03,ZA,1686007103
6,arteche,12.2645,125.4048,27.35,85,35,0.68,PH,1686007103
7,udachny,66.4167,112.4,1.36,80,92,6.12,RU,1686007103
8,nova sintra,14.8667,-24.7167,20.75,80,8,1.8,CV,1686007104
9,kiunga,-6.1219,141.2906,25.67,92,90,0.33,PG,1686007104
10,ilulissat,69.2167,-51.1,0.01,74,75,6.17,GL,1686007104
11,blackmans bay,-43.0167,147.3167,10.41,87,77,4.57,AU,1686007104
12,adamstown,-25.066,-130.1015,20.81,60,58,9.09,PN,1686007104
13,isafjordur,66.0755,-23.124,5.57,91,100,1.45,IS,1686007105
14,vilyuchinsk,52.9306,158.4028,11.15,90,100,1.12,RU,1686007105
15,olonkinbyen,70.9221,-8.7187,-0.1,84,57,3.06,SJ,1686007105
16,huancavelica,-12.7667,-74.9833,2.97,81,93,2.69,PE,1686007105
17,waitangi,-43.9535,-176.5597,10.46,82,100,0.89,NZ,1686007105
18,villa ojo de agua,-29.5,-63.6938,12.49,83,95,3.47,AR,1686007106
19,kingisepp,59.3733,28.6134,9.46,72,41,3.73,RU,1686007106
20,georgetown,5.4112,100.3354,26.96,89,40,3.09,MY,1686006838
21,howrah,22.5892,88.3103,30.0,84,20,1.54,IN,1686007106
22,holualoa,19.6228,-155.9522,25.86,73,40,4.63,US,1686007106
23,badger,64.8,-147.5333,22.14,27,20,2.06,US,1686007106
24,jamestown,42.097,-79.2353,20.01,45,0,2.06,US,1686006974
25,aykhal,66.0,111.5,0.81,92,98,6.49,RU,1686007107
26,ust-nera,64.5667,143.2,15.32,36,53,1.88,RU,1686007108
27,tura,25.5198,90.2201,25.32,55,0,2.09,IN,1686007108
28,enewetak,11.3474,162.3373,27.95,79,86,3.82,MH,1686007108
29,gornopravdinsk,60.05,69.9,13.3,82,2,2.42,RU,1686007108
30,la ronge,55.1001,-105.2842,31.14,35,75,3.09,CA,1686007108
31,longyearbyen,78.2186,15.6401,2.91,70,20,5.66,SJ,1686007108
32,plouzane,48.3833,-4.6167,13.1,88,0,5.66,FR,1686006871
33,invercargill,-46.4,168.35,5.86,84,29,1.85,NZ,1686007037
34,puerto natales,-51.7236,-72.4875,1.72,93,45,1.13,CL,1686007109
35,bilibino,68.0546,166.4372,11.31,55,100,1.81,RU,1686007109
36,yellowknife,62.456,-114.3525,21.29,56,75,3.6,CA,1686007022
37,port lincoln,-34.7333,135.8667,15.23,66,0,7.14,AU,1686007109
38,rexburg,43.826,-111.7897,24.99,31,0,3.6,US,1686006905
